case,test,statistic,value
c10,tukey,adj.p.value:G2-G3,0.11656928668673527
c10,kruskal,statistic,19.448717948717952
c10,kruskal,p.value,5.980872681109714e-05
c10,kruskal,df,2
c10,kruskal,tie.correction,0.9765010939145936
c11,anova,statistic,0.15819182588042285
c11,anova,p.value,0.8540595006623957
c11,anova,df.between,2
c11,anova,df.within,57
c11,anova,sumsq.between,35.693203339896954
c11,anova,sumsq.within,6430.523761423722
c11,anova,meansq.within,112.81620634076705
c11,anova,eta.squared,0.005519951392661283
c11,tukey,estimate:G1-G2,-0.8911424530612013
c11,tukey,adj.p.value:G1-G2,0.9619654511096898
c11,tukey,estimate:G1-G3,-1.8882732389906653
c11,tukey,adj.p.value:G1-G3,0.840633563949957
c11,tukey,estimate:G2-G3,-0.997130785929464
c11,tukey,adj.p.value:G2-G3,0.9526202594668239
c11,kruskal,statistic,2.4652459016393493
c11,kruskal,p.value,0.2915269132137401
c11,kruskal,df,2
c11,kruskal,tie.correction,1
c12,anova,statistic,0.19425606262310469
c12,anova,p.value,0.8245877466139921
c12,anova,df.between,2
c12,anova,df.within,27
c12,anova,sumsq.between,1.2397735636841882
c12,anova,sumsq.within,86.15918022702608
c12,anova,meansq.within,3.191080749149114
c12,anova,eta.squared,0.014185222018252182
c12,tukey,estimate:G1-G2,-0.4539501728549791
c12,tukey,adj.p.value:G1-G2,0.8380092638044656
c12,tukey,estimate:G1-G3,-0.40421211691584347
c12,tukey,adj.p.value:G1-G3,0.8690705552740421
c12,tukey,estimate:G2-G3,0.049738055939135606
c12,tukey,adj.p.value:G2-G3,0.9978653904511808
c12,kruskal,statistic,0.37935483870967346
c12,kruskal,p.value,0.8272259379849096
c12,kruskal,df,2
c12,kruskal,tie.correction,1
c13,anova,statistic,0.982587548082828
c13,anova,p.value,0.4349129262643534
c13,anova,df.between,4
c13,anova,df.within,25
c13,anova,sumsq.between,15.126445118395575
c13,anova,sumsq.within,96.21563205684242
c13,anova,meansq.within,3.848625282273697
c13,anova,eta.squared,0.1358556037587525
c13,tukey,estimate:G1-G2,-1.5704668328942795
c13,tukey,adj.p.value:G1-G2,0.6415058641992601
c13,tukey,estimate:G1-G3,-0.7726766334791328
c13,tukey,adj.p.value:G1-G3,0.9585047192154161
c13,tukey,estimate:G1-G4,-1.707348614801333
c13,tukey,adj.p.value:G1-G4,0.5674087834002708
c13,tukey,estimate:G1-G5,-1.9100228515453619
c13,tukey,adj.p.value:G1-G5,0.4598879452372946
c13,tukey,estimate:G2-G3,0.7977901994151466
c13,tukey,adj.p.value:G2-G3,0.9535739129034677
c13,tukey,estimate:G2-G4,-0.13688178190705358
c13,tukey,adj.p.value:G2-G4,0.9999482163774241
c13,tukey,estimate:G2-G5,-0.3395560186510824
c13,tukey,adj.p.value:G2-G5,0.9981168812011675
c13,tukey,estimate:G3-G4,-0.9346719813222002
c13,tukey,adj.p.value:G3-G4,0.920291921143177
c13,tukey,estimate:G3-G5,-1.137346218066229
c13,tukey,adj.p.value:G3-G5,0.8509856999649726
c13,tukey,estimate:G4-G5,-0.20267423674402885
c13,tukey,adj.p.value:G4-G5,0.99975344024674
c13,kruskal,statistic,3.2043010752688303
c13,kruskal,p.value,0.5242365293434315
c13,kruskal,df,4
c13,kruskal,tie.correction,1
c14,anova,statistic,17.10688834507071
c14,anova,p.value,2.064616062950832e-09
c14,anova,df.between,4
c14,anova,df.within,60
c14,anova,sumsq.between,195.59611800897204
c14,anova,sumsq.within,171.50645464871965
c14,anova,meansq.within,2.858440910811994
c14,anova,eta.squared,0.5328105346495556
