cell_id	quantity	value	source
c0011	p	7.2000246032637e-08	praat
c0011	cohens_d	-2.1049340330376625	praat
c0011	hedges_g	-2.063067741579696	praat
c0012	n_group1	20	praat
c0012	n_group2	20	praat
c0012	n	40	praat
c0012	mean_group1	0.7992990952036713	praat
c0012	mean_group2	2.1413878317564627	praat
c0012	sd_group1	0.32813464539627635	praat
c0012	sd_group2	0.8398656625139178	praat
c0012	median_group1	0.7859934519885785	praat
c0012	median_group2	2.342522159725755	praat
c0012	mean_diff	-1.3420887365527916	praat
c0012	t	-6.65638586880313	praat
c0012	df	38	praat
c0012	p	7.2000246032637e-08	praat
c0012	cohens_d	-2.1049340330376625	praat
c0012	hedges_g	-2.063067741579696	praat
c0013	n_group1	20	praat
c0013	n_group2	20	praat
c0013	n	40	praat
c0013	mean_group1	0.7992990952036713	praat
c0013	mean_group2	2.1413878317564627	praat
c0013	sd_group1	0.32813464539627635	praat
c0013	sd_group2	0.8398656625139178	praat
c0013	median_group1	0.7859934519885785	praat
c0013	median_group2	2.342522159725755	praat
c0013	mean_diff	-1.3420887365527916	praat
c0013	u1	24	praat
c0013	u2	376	praat
c0013	rank_biserial	-0.88	praat
c0013	p	1.0605997934914123e-07	praat
c0013	p_method	exact	praat
c0014	n_group1	20	praat
c0014	n_group2	20	praat
c0014	n	40	praat
c0014	mean_group1	0.7992990952036713	praat
c0014	mean_group2	2.1413878317564627	praat
c0014	sd_group1	0.32813464539627635	praat
c0014	sd_group2	0.8398656625139178	praat
c0014	median_group1	0.7859934519885785	praat
c0014	median_group2	2.342522159725755	praat
c0014	mean_diff	-1.3420887365527916	praat
c0014	u1	24	praat
c0014	u2	376	praat
c0014	rank_biserial	-0.88	praat
c0014	p	1.0605997934914123e-07	praat
c0014	p_method	exact	praat
c0015	n_group1	20	praat
c0015	n_group2	20	praat
c0015	n	40	praat
c0015	mean_group1	0.7992990952036713	praat
c0015	mean_group2	2.1413878317564627	praat
c0015	sd_group1	0.32813464539627635	praat
c0015	sd_group2	0.8398656625139178	praat
c0015	median_group1	0.7859934519885785	praat
c0015	median_group2	2.342522159725755	praat
c0015	mean_diff	-1.3420887365527916	praat
c0015	t	-6.65638586880313	praat
c0015	df	24.668456862621873	praat
c0015	p	6.039394008344935e-07	praat
c0015	cohens_d	-2.1049340330376625	praat
c0015	hedges_g	-2.063067741579696	praat
c0015	u1	24	praat
c0015	u2	376	praat
c0015	rank_biserial	-0.88	praat
c0015	mw_p	1.0605997934914123e-07	praat
c0015	p_method	exact	praat
c0016	n_group1	20	praat
c0016	n_group2	20	praat
c0016	n	40	praat
c0016	mean_group1	0.7992990952036713	praat
c0016	mean_group2	2.1413878317564627	praat
c0016	sd_group1	0.32813464539627635	praat
c0016	sd_group2	0.8398656625139178	praat
c0016	median_group1	0.7859934519885785	praat
c0016	median_group2	2.342522159725755	praat
c0016	mean_diff	-1.3420887365527916	praat
c0016	t	-6.65638586880313	praat
c0016	df	24.668456862621873	praat
c0016	p	6.039394008344935e-07	praat
c0016	cohens_d	-2.1049340330376625	praat
c0016	hedges_g	-2.063067741579696	praat
c0016	u1	24	praat
c0016	u2	376	praat
c0016	rank_biserial	-0.88	praat
c0016	mw_p	1.0605997934914123e-07	praat
c0016	p_method	exact	praat
c0017	n_group1	24	praat
c0017	n_group2	24	praat
c0017	n	48	praat
c0017	mean_group1	95.26051014410355	praat
c0017	mean_group2	89.13421448105278	praat
c0017	sd_group1	5.857231403651492	praat
c0017	sd_group2	4.9840777494869775	praat
c0017	median_group1	95.27021171593253	praat
c0017	median_group2	90.33935299990364	praat
c0017	mean_diff	6.126295663050769	praat
c0017	t	3.9024095083039763	praat
c0017	df	44.85122186889205	praat
c0017	p	0.00031662029464293086	praat
c0017	cohens_d	1.1265285900537279	praat
c0017	hedges_g	1.108044010464055	praat
c0018	n_group1	24	praat
c0018	n_group2	24	praat
c0018	n	48	praat
c0018	mean_group1	89.13421448105278	praat
c0018	mean_group2	95.26051014410355	praat
c0018	sd_group1	4.9840777494869775	praat
c0018	sd_group2	5.857231403651492	praat
c0018	median_group1	90.33935299990364	praat
c0018	median_group2	95.27021171593253	praat
c0018	mean_diff	-6.126295663050769	praat
c0018	t	-3.9024095083039763	praat
c0018	df	44.85122186889205	praat
c0018	p	0.00031662029464293086	praat
c0018	cohens_d	-1.1265285900537279	praat
c0018	hedges_g	-1.108044010464055	praat
c0019	n_group1	24	praat
c0019	n_group2	24	praat
c0019	n	48	praat
c0019	mean_group1	95.26051014410355	praat
c0019	mean_group2	89.13421448105278	praat
c0019	sd_group1	5.857231403651492	praat
c0019	sd_group2	4.9840777494869775	praat
c0019	median_group1	95.27021171593253	praat
c0019	median_group2	90.33935299990364	praat
c0019	mean_diff	6.126295663050769	praat
c0019	t	3.9024095083039763	praat
c0019	df	46	praat
c0019	p	0.0003088228165246715	praat
c0019	cohens_d	1.1265285900537279	praat
c0019	hedges_g	1.108044010464055	praat
c0020	n_group1	24	praat
c0020	n_group2	24	praat
c0020	n	48	praat
c0020	mean_group1	89.13421448105278	praat
c0020	mean_group2	95.26051014410355	praat
c0020	sd_group1	4.9840777494869775	praat
c0020	sd_group2	5.857231403651492	praat
c0020	median_group1	90.33935299990364	praat
c0020	median_group2	95.27021171593253	praat
c0020	mean_diff	-6.126295663050769	praat
c0020	t	-3.9024095083039763	praat
c0020	df	46	praat
c0020	p	0.0003088228165246715	praat
c0020	cohens_d	-1.1265285900537279	praat
c0020	hedges_g	-1.108044010464055	praat
c0021	n_group1	24	praat
c0021	n_group2	24	praat
c0021	n	48	praat
c0021	mean_group1	95.26051014410355	praat
c0021	mean_group2	89.13421448105278	praat
c0021	sd_group1	5.857231403651492	praat
c0021	sd_group2	4.9840777494869775	praat
c0021	median_group1	95.27021171593253	praat
c0021	median_group2	90.33935299990364	praat
c0021	mean_diff	6.126295663050769	praat
c0021	u1	431	praat
c0021	u2	145	praat
