analysis	quantity	plugin_value	r_value	relative_difference
c0007	p_method	exact	exact	
c0007	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0007	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0007	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0007	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0007	u1	138	138	0.00e+00
c0007	u2	262	262	0.00e+00
c0008	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0008	cohens_d	-0.4877302019398362	-0.48773020193983618	0.00e+00
c0008	df	31.789784909512843	31.789784909512836	2.24e-16
c0008	hedges_g	-0.47802944435466926	-0.47802944435466244	1.43e-14
c0008	mean_diff	-10.280821420414043	-10.280821420414043	0.00e+00
c0008	mean_group1	123.65340661246606	123.65340661246606	0.00e+00
c0008	mean_group2	133.9342280328801	133.9342280328801	0.00e+00
c0008	median_group1	123.09982926178384	123.09982926178384	0.00e+00
c0008	median_group2	135.4196823775431	135.4196823775431	0.00e+00
c0008	mw_p	0.0964995524361003	0.096499552436100297	0.00e+00
c0008	n	40	40	0.00e+00
c0008	n_group1	20	20	0.00e+00
c0008	n_group2	20	20	0.00e+00
c0008	p	0.13288837133543796	0.13288837133543871	5.64e-15
c0008	p_method	exact	exact	
c0008	rank_biserial	-0.31	-0.31000000000000005	1.79e-16
c0008	sd_group1	15.746002363591481	15.746002363591481	0.00e+00
c0008	sd_group2	25.312138796756305	25.312138796756305	0.00e+00
c0008	t	-1.5423383217837563	-1.5423383217837563	0.00e+00
c0008	u1	138	138	0.00e+00
c0008	u2	262	262	0.00e+00
c0009	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0009	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0009	df	24.668456862621873	24.66845686262187	1.44e-16
c0009	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0009	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0009	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0009	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0009	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0009	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0009	n	40	40	0.00e+00
c0009	n_group1	20	20	0.00e+00
c0009	n_group2	20	20	0.00e+00
c0009	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0009	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0009	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0009	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0010	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0010	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0010	df	24.668456862621873	24.66845686262187	1.44e-16
c0010	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0010	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0010	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0010	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0010	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0010	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0010	n	40	40	0.00e+00
c0010	n_group1	20	20	0.00e+00
c0010	n_group2	20	20	0.00e+00
c0010	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0010	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0010	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0010	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0011	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0011	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0011	df	38	38	0.00e+00
c0011	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0011	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0011	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0011	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0011	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0011	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0011	n	40	40	0.00e+00
c0011	n_group1	20	20	0.00e+00
c0011	n_group2	20	20	0.00e+00
c0011	p	7.2000246032637e-08	7.2000246032636922e-08	1.10e-15
c0011	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0011	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0011	t	-6.65638586880313	-6.6563858688031301	0.00e+00
c0012	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0012	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0012	df	38	38	0.00e+00
c0012	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0012	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0012	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0012	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0012	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0012	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0012	n	40	40	0.00e+00
c0012	n_group1	20	20	0.00e+00
c0012	n_group2	20	20	0.00e+00
c0012	p	7.2000246032637e-08	7.2000246032636922e-08	1.10e-15
c0012	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0012	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0012	t	-6.65638586880313	-6.6563858688031301	0.00e+00
c0013	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0013	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0013	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0013	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0013	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0013	n	40	40	0.00e+00
c0013	n_group1	20	20	0.00e+00
c0013	n_group2	20	20	0.00e+00
c0013	p	1.0605997934914123e-07	1.0605997934914123e-07	0.00e+00
c0013	p_method	exact	exact	
c0013	rank_biserial	-0.88	-0.87999999999999989	1.26e-16
c0013	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0013	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0013	u1	24	24	0.00e+00
c0013	u2	376	376	0.00e+00
c0014	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0014	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0014	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0014	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0014	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0014	n	40	40	0.00e+00
c0014	n_group1	20	20	0.00e+00
c0014	n_group2	20	20	0.00e+00
c0014	p	1.0605997934914123e-07	1.0605997934914123e-07	0.00e+00
c0014	p_method	exact	exact	
c0014	rank_biserial	-0.88	-0.87999999999999989	1.26e-16
c0014	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0014	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0014	u1	24	24	0.00e+00
c0014	u2	376	376	0.00e+00
c0015	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0015	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0015	df	24.668456862621873	24.66845686262187	1.44e-16
c0015	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0015	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0015	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0015	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0015	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0015	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0015	mw_p	1.0605997934914123e-07	1.0605997934914123e-07	0.00e+00
c0015	n	40	40	0.00e+00
c0015	n_group1	20	20	0.00e+00
c0015	n_group2	20	20	0.00e+00
c0015	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0015	p_method	exact	exact	
c0015	rank_biserial	-0.88	-0.87999999999999989	1.26e-16
c0015	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0015	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0015	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0015	u1	24	24	0.00e+00
c0015	u2	376	376	0.00e+00
c0016	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0016	cohens_d	-2.1049340330376625	-2.1049340330376625	0.00e+00
c0016	df	24.668456862621873	24.66845686262187	1.44e-16
c0016	hedges_g	-2.063067741579696	-2.0630677415796663	1.44e-14
c0016	mean_diff	-1.3420887365527916	-1.3420887365527916	0.00e+00
c0016	mean_group1	0.7992990952036713	0.79929909520367126	0.00e+00
c0016	mean_group2	2.1413878317564627	2.1413878317564627	0.00e+00
c0016	median_group1	0.7859934519885785	0.78599345198857851	0.00e+00
c0016	median_group2	2.342522159725755	2.3425221597257551	0.00e+00
c0016	mw_p	1.0605997934914123e-07	1.0605997934914123e-07	0.00e+00
c0016	n	40	40	0.00e+00
c0016	n_group1	20	20	0.00e+00
c0016	n_group2	20	20	0.00e+00
c0016	p	6.039394008344935e-07	6.0393940083449425e-07	1.23e-15
c0016	p_method	exact	exact	
c0016	rank_biserial	-0.88	-0.87999999999999989	1.26e-16
c0016	sd_group1	0.32813464539627635	0.32813464539627635	0.00e+00
c0016	sd_group2	0.8398656625139178	0.83986566251391781	0.00e+00
c0016	t	-6.65638586880313	-6.656385868803131	1.33e-16
c0016	u1	24	24	0.00e+00
c0016	u2	376	376	0.00e+00
c0017	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0017	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0017	df	44.85122186889205	44.851221868892047	0.00e+00
c0017	hedges_g	1.108044010464055	1.1080440104640632	7.41e-15
c0017	mean_diff	6.126295663050769	6.1262956630507688	0.00e+00
c0017	mean_group1	95.26051014410355	95.260510144103549	0.00e+00
c0017	mean_group2	89.13421448105278	89.13421448105278	0.00e+00
c0017	median_group1	95.27021171593253	95.270211715932533	0.00e+00
c0017	median_group2	90.33935299990364	90.339352999903639	0.00e+00
c0017	n	48	48	0.00e+00
c0017	n_group1	24	24	0.00e+00
c0017	n_group2	24	24	0.00e+00
c0017	p	0.00031662029464293086	0.00031662029464293	2.74e-15
c0017	sd_group1	5.857231403651492	5.8572314036514923	0.00e+00
c0017	sd_group2	4.9840777494869775	4.9840777494869775	0.00e+00
c0017	t	3.9024095083039763	3.9024095083039763	0.00e+00
c0018	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0018	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0018	df	44.85122186889205	44.851221868892047	0.00e+00
c0018	hedges_g	-1.108044010464055	-1.1080440104640632	7.41e-15
c0018	mean_diff	-6.126295663050769	-6.1262956630507688	0.00e+00
c0018	mean_group1	89.13421448105278	89.13421448105278	0.00e+00
c0018	mean_group2	95.26051014410355	95.260510144103549	0.00e+00
c0018	median_group1	90.33935299990364	90.339352999903639	0.00e+00
c0018	median_group2	95.27021171593253	95.270211715932533	0.00e+00
c0018	n	48	48	0.00e+00
c0018	n_group1	24	24	0.00e+00
c0018	n_group2	24	24	0.00e+00
c0018	p	0.00031662029464293086	0.00031662029464293	2.74e-15
c0018	sd_group1	4.9840777494869775	4.9840777494869775	0.00e+00
c0018	sd_group2	5.857231403651492	5.8572314036514923	0.00e+00
c0018	t	-3.9024095083039763	-3.9024095083039763	0.00e+00
c0019	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0019	cohens_d	1.1265285900537279	1.1265285900537281	1.97e-16
c0019	df	46	46	0.00e+00
c0019	hedges_g	1.108044010464055	1.1080440104640632	7.41e-15
c0019	mean_diff	6.126295663050769	6.1262956630507688	0.00e+00
c0019	mean_group1	95.26051014410355	95.260510144103549	0.00e+00
c0019	mean_group2	89.13421448105278	89.13421448105278	0.00e+00
c0019	median_group1	95.27021171593253	95.270211715932533	0.00e+00
c0019	median_group2	90.33935299990364	90.339352999903639	0.00e+00
c0019	n	48	48	0.00e+00
c0019	n_group1	24	24	0.00e+00
c0019	n_group2	24	24	0.00e+00
c0019	p	0.0003088228165246715	0.00030882281652467133	5.27e-16
c0019	sd_group1	5.857231403651492	5.8572314036514923	0.00e+00
c0019	sd_group2	4.9840777494869775	4.9840777494869775	0.00e+00
c0019	t	3.9024095083039763	3.9024095083039763	0.00e+00
c0020	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0020	cohens_d	-1.1265285900537279	-1.1265285900537281	1.97e-16
c0020	df	46	46	0.00e+00
c0020	hedges_g	-1.108044010464055	-1.1080440104640632	7.41e-15
